season,name,position,round,total_points,points_last3,points_last5,minutes_last3,minutes_last5,bps_last5,ict_last5,starts_last3,xg_last5,xa_last5,xgi_last5,transfers_last3,season_points_avg,season_minutes_avg,was_home,value,round,pos_DEF,pos_FWD,pos_GK,pos_MID
2022-23,Aaron Cresswell,DEF,2,2,1.0,1.0,90.0,90.0,16.0,4.1,0.0,0.0,0.0,0.0,0.0,1.0,90.0,0,50,2,1,0,0,0
2022-23,Aaron Cresswell,DEF,3,0,1.5,1.5,90.0,90.0,15.0,6.1,0.0,0.0,0.0,0.0,10754.5,1.5,90.0,1,50,3,1,0,0,0
2022-23,Aaron Cresswell,DEF,4,6,1.0,1.0,90.0,90.0,12.0,6.3,0.0,0.0,0.0,0.0,698.3333333333334,1.0,90.0,0,50,4,1,0,0,0
2022-23,Aaron Cresswell,DEF,5,2,2.6666666666666665,2.25,90.0,90.0,15.5,5.425,0.0,0.0,0.0,0.0,-17022.333333333332,2.25,90.0,1,49,5,1,0,0,0
2022-23,Aaron Cresswell,DEF,8,2,2.6666666666666665,2.0,53.666666666666664,68.2,12.4,4.1,0.0,0.0,0.0,0.0,-36015.666666666664,1.8333333333333333,71.83333333333333,0,48,8,1,0,0,0
2022-23,Aaron Cresswell,DEF,9,5,1.3333333333333333,2.0,53.666666666666664,68.2,12.2,3.54,0.0,0.0,0.0,0.0,-16050.333333333334,1.8571428571428572,74.42857142857143,1,48,9,1,0,0,0
2022-23,Aaron Cresswell,DEF,10,2,2.3333333333333335,3.0,60.0,68.2,15.2,2.7600000000000002,0.0,0.0,0.0,0.0,-2980.6666666666665,2.25,76.375,1,48,10,1,0,0,0
2022-23,Aaron Cresswell,DEF,11,3,3.0,2.2,90.0,68.2,14.0,3.5799999999999996,0.0,0.0,0.0,0.0,21451.333333333332,2.2222222222222223,77.88888888888889,0,48,11,1,0,0,0
2022-23,Aaron Cresswell,DEF,12,2,3.3333333333333335,2.4,90.0,72.0,14.6,4.42,0.0,0.0,0.0,0.0,24619.0,2.3,79.1,0,48,12,1,0,0,0
2022-23,Aaron Cresswell,DEF,13,8,2.3333333333333335,2.8,90.0,90.0,19.2,5.58,0.0,0.0,0.0,0.0,16085.0,2.272727272727273,80.0909090909091,1,48,13,1,0,0,0
2022-23,Aaron Cresswell,DEF,14,2,4.333333333333333,4.0,90.0,90.0,23.2,6.62,0.0,0.0,0.0,0.0,8544.0,2.75,80.91666666666667,0,48,14,1,0,0,0
2022-23,Aaron Cresswell,DEF,15,1,4.0,3.4,90.0,90.0,22.0,6.74,0.0,0.0,0.0,0.0,1422.0,2.6923076923076925,81.61538461538461,1,48,15,1,0,0,0
2022-23,Aaron Cresswell,DEF,16,1,3.6666666666666665,3.2,90.0,90.0,20.4,5.84,0.0,0.0,0.0,0.0,11450.666666666666,2.5714285714285716,82.21428571428571,1,48,16,1,0,0,0
